日期,成交日期,证券代码,证券名称,操作,资金余额,成交数量,成交均价,备注,成交金额,发生金额,手续费,印花税,其他杂费,本次金额,合同编号,成交编号,交易市场,货币单位,委托日期,证券中文全称,股份余额
20240122,20240122,510300,300ETF,红利入账,8880.500,500,0.000,0,34.500,34.500,0.000,0.000,0.000,8880.500,,0,沪Ａ,人民币,20240122,沪深300ETF,0
20240117,20240117,510300,300ETF,证券买入,8846.000,500,3.321,0,1660.500,-1660.600,0.100,0.000,0.000,8846.000,0330006399,26438262,沪Ａ,人民币,20240117,沪深300ETF,500
20240112,20240112,601187,厦门银行,证券卖出,10506.600,100,5.190,0,519.000,518.630,0.100,0.260,0.000,10506.600,0330002034,5918659,沪Ａ,人民币,20240112,厦门银行,0
20240105,20240105,,,银行转证券,10507.080,0,0.000,0,0.000,4000.160,0.000,0.000,0.000,10507.080,,0,,人民币,20240105,,0
20240105,20240105,601187,厦门银行,证券买入,9987.970,100,5.190,0,519.000,-519.110,0.100,0.000,0.000,9987.970,0330005582,23952490,沪Ａ,人民币,20240105,厦门银行,100
20231229,20231229,204007,GC007,通用回购逆回购购,6506.920,60,5.360,0,6007.050,6007.050,0.000,0.000,0.000,6506.920,0330002386,1200801000727634,沪Ａ,人民币,20231222,GC007,0
20231222,20231222,204007,GC007,通用回购逆回购,499.870,60,5.360,0,6000.000,-6000.300,0.300,0.000,0.000,499.870,0330002386,1200801000727634,沪Ａ,人民币,20231222,GC007,0
20231222,20231222,,,银行转证券,6500.170,0,0.000,0,0.000,6500.000,0.000,0.000,0.000,6500.170,,0,,人民币,20231222,,0
20231220,20231220,,,利息归本,0.170,0,0.000,0,0.000,0.170,0.000,0.000,0.000,0.170,,,,人民币,20231220,,0
20231215,20231215,,,证券转银行,0.000,0,0.000,0,0.000,-30206.940,0.000,0.000,0.000,0.000,,0,,人民币,20231215,,0
20231215,20231215,,,银行转证券,30206.940,0,0.000,0,0.000,15.000,0.000,0.000,0.000,30206.940,,0,,人民币,20231215,,0
20231214,20231214,132001,金自来,报价融券购回,30191.940,300,100.004,0,30001.230,30001.230,0.000,0.000,0.000,30191.940,EP00008538,0201000000276641,深Ａ,人民币,20231213,金自来,0
20231213,20231213,132001,金自来,报价融券回购,190.710,300,100.000,0,30000.000,-30000.000,0.000,0.000,0.000,190.710,EP00008538,0201000000276641,深Ａ,人民币,20231213,金自来,0
20231213,20231213,132001,金自来,报价融券购回,30190.710,300,100.004,0,30001.230,30001.230,0.000,0.000,0.000,30190.710,EP00009520,0201000000754520,深Ａ,人民币,20231212,金自来,0
20231212,20231212,132001,金自来,报价融券回购,189.480,300,100.000,0,30000.000,-30000.000,0.000,0.000,0.000,189.480,EP00009520,0201000000754520,深Ａ,人民币,20231212,金自来,0
20231212,20231212,132001,金自来,报价融券购回,30189.480,300,100.004,0,30001.230,30001.230,0.000,0.000,0.000,30189.480,EP00008943,0201000000870826,深Ａ,人民币,20231211,金自来,0
20231211,20231211,132001,金自来,报价融券回购,188.250,300,100.000,0,30000.000,-30000.000,0.000,0.000,0.000,188.250,EP00008943,0201000000870826,深Ａ,人民币,20231211,金自来,0
20231211,20231211,132001,金自来,报价融券购回,30188.250,300,100.627,0,30188.250,30188.250,0.000,0.000,0.000,30188.250,EP00004995,0201000000144412,深Ａ,人民币,20231113,金自来,0
20231113,20231113,132001,金自来,报价融券回购,0.000,300,100.000,0,30000.000,-30000.000,0.000,0.000,0.000,0.000,EP00004995,0201000000144412,深Ａ,人民币,20231113,金自来,0
20231113,20231113,,,银行转证券,30000.000,0,0.000,0,0.000,30000.000,0.000,0.000,0.000,30000.000,,0,,人民币,20231113,,0
20231108,20231108,799999,指定登记,指定交易,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0330000171,34958631,沪Ａ,人民币,20231108,指定登记,0
