"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"05/04/2026","Buy","SCHD","SCHWAB U.S. DIVIDEND EQUITY ETF","1","$31.50","","-$31.50"
"05/01/2026","Sell","BOXX","ALPHA ARCHITECT 1-3 MONTH BOX ETF","1","$116.5701","","$116.57"
"04/24/2026","Buy","YANG","DIREXION DAILY FTSE CHINA BEAR 3X SHARES","1","$27.00","","-$27.00"
"04/24/2026","NRA Tax Adj","QQQI","NEOS NASDAQ-100(R) HIGH INCOME ETF","","","","-$0.19"
"04/24/2026","Non-Qualified Div","QQQI","NEOS NASDAQ-100(R) HIGH INCOME ETF","","","","$1.89"
"04/17/2026","Buy","YANG","DIREXION DAILY FTSE CHINA BEAR 3X SHARES","1","$25.50","","-$25.50"
"04/14/2026","Buy","YANG","DIREXION DAILY FTSE CHINA BEAR 3X SHARES","2","$27.60","","-$55.20"
"03/31/2026","NRA Tax Adj","YANG","DIREXION DAILY FTSE CHINA BEAR 3X SHARES","","","","-$0.05"
"03/31/2026","Cash Dividend","YANG","DIREXION DAILY FTSE CHINA BEAR 3X SHARES","","","","$0.52"
"03/27/2026","Buy","QQQI","NEOS NASDAQ-100(R) HIGH INCOME ETF","1","$48.50","","-$48.50"
"03/26/2026","Buy","QQQI","NEOS NASDAQ-100(R) HIGH INCOME ETF","1","$49.50","","-$49.50"
"03/23/2026","Buy","YANG","DIREXION DAILY FTSE CHINA BEAR 3X SHARES","1","$30.00","","-$30.00"
"03/23/2026","Buy","YANG","DIREXION DAILY FTSE CHINA BEAR 3X SHARES","1","$33.00","","-$33.00"
"03/20/2026","Journal","BOXX","ALPHA ARCHITECT 1-3 MONTH BOX ETF","-23","","",""
"03/20/2026","Journal","BOXX","ALPHA ARCHITECT 1-3 MONTH BOX ETF","23","","",""
"03/19/2026","Sell","BOXX","ALPHA ARCHITECT 1-3 MONTH BOX ETF","1","$116.02","","$116.02"
"03/18/2026","Buy","QQQI","NEOS NASDAQ-100(R) HIGH INCOME ETF","1","$51.35","","-$51.35"
"03/09/2026","Sell","BOXX","ALPHA ARCHITECT 1-3 MONTH BOX ETF","2","$115.88","","$231.76"
"03/02/2026","Security Transfer","BOXX","ALPHA ARCHITECT 1-3 MONTH BOX ETF","26","","",""
