标的,价格,分红,分红比例,公告日,除息日,登记日,到账日
XQQI,47.5100,0.85,1.79%,2026-02-03,2026-02-04,2026-02-04,2026-02-06
XQQI,47.4300,0.8139,1.72%,2026-03-03,2026-03-04,2026-03-04,2026-03-06
XQQI,45.7500,0.7672,1.68%,2026-04-07,2026-04-08,2026-04-08,2026-04-10
XQQI,51.0800,0.856,1.68%,2026-05-05,2026-05-06,2026-05-06,2026-05-08
XQQI,53.4200,0.9216,1.73%,2026-06-02,2026-06-03,2026-06-03,2026-06-05
